productCode,image,category,price,name,description
8024480AABA1000,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1713892667/802448_0AABA_1000_001_072_0000_Light.jpg,HANDBAGS,2600.0,حقيبة كتف GG Marmont صغيرة,تسلّط مجموعة GG Marmont الضوء على الجلد الأنيق بدرجات ألوان داكنة للترحيب بموسم ما قبل الخريف. صُنعت حقيبة الكتف الصغيرة هذه مع إغلاق بسحّاب من الجلد اللمّاع المبطن بتصميم شيفرون، وهي تُبرز تصميمها العصري باللون الأسود، كما تكتمل بالقطعة المعدنية بلمسات نهائية باللون الذهبي الفاتح.
802166FADUU8657,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1716915707/802166_FADUU_8657_001_100_0000_Light.jpg,MENS BAGS,2250.0,حقيبة يد واسعة كبيرة الحجم بنقش GG,تظهر القطع المميّزة في مجموعة الخريف والشتاء للرجال بطابع رياضي. صُنعت القطع من كانفاس Original GG، وتعكس أشكالها الأزلية ومجموعة ألوانها الاستثنائية جواً عصرياً من خلال التفاصيل الدقيقة والمرهفة، على غرار شريط ويب ونقش شعار Gucci. تتميّز حقيبة اليد الواسعة كبيرة الحجم هذه والمصنوعة من الكانفاس باللونين البيج والأبنوس بجيوب متعددة ومقابض علوية.
802163KY9809763,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1711356332/802163_KY980_9763_001_100_0000_Light.jpg,WOMENS SHOES,920.0,حذاء Princetown مفتوح للنساء,تقدّم المجموعة العديد من التصاميم المميّزة المتنوعة. يتميّز حذاء Princetown المفتوح من الخلف بتصميمه الأنيق ومواده الفاخرة وحلية Horsebit الكلاسيكية. يتعزّز هذا الموديل بواسطة
802100FADUT6246,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1721147529/802100_FADUT_6246_001_080_0000_Light.jpg,MENS SMLG,1850.0,حقيبة كروس بودي صغيرة جداً بنقش GG,تستكشف مجموعة الإكسسوارات الجلدية الصغيرة الأخيرة للرجال وظائف عملية وتركيبات لونية جديدة. صُنعت حقيبة كروس بودي الصغيرة جداً والأزلية هذه باللون الأحمر Rosso Ancora من كانفاس Original GG، وهي تعكس جواً عصرياً من خلال التفاصيل الدقيقة والمرهفة، على غرار تفصيل شريط ويب والإغلاق المغناطيسي الميكانيكي الجديد.
802096FADWD6249,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1717606945/802096_FADWD_6249_001_088_0000_Light.jpg,MENS BAGS,1980.0,حقيبة كروس بودي صغيرة الحجم بنقش GG,تظهر القطع المميّزة في مجموعة الخريف والشتاء للرجال بطابع رياضي. صُنعت القطع من كانفاس Original GG، وتعكس أشكالها الأزلية ومجموعة ألوانها الاستثنائية جواً عصرياً من خلال التفاصيل الدقيقة والمرهفة، على غرار شريط ويب ونقش شعار Gucci. تتميّز حقيبة كروس بودي صغيرة الحجم هذه والمصنوعة من الكانفاس باللون الأحمر Rosso Ancora بجيوب متعددة وحزام كتف قابل للتعديل.
802025FADUN6242,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1717608606/802025_FADUN_6242_001_080_0000_Light.jpg,MENS SMLG,385.0,حافظة جواز سفر بنقش GG,للمجموعات الأخيرة، يستمر شعار GG بالعودة إلى الواجهة مع طابع مختلف عصري. يتم تقديم حافظة جواز السفر هذه بكانفاس Supreme باللون الأحمر Gucci Rosso Ancora، وهي تتميّز بالمونوغرام الاستثنائي بتأثير بصري لخلق حس بالحجم الكبير.
801893BNC801000,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1712680371/801893_BNC80_1000_001_095_0000_Light.jpg,WOMENS SHOES,1050.0,حذاء بكعب أمامي عالٍ مزيّن بشعار Horsebit للنساء,تزيّن حلية Horsebit الأيقونية هذا الحذاء المصنوع من الجلد اللمّاع بكعب عالٍ. ويكتمل التصميم بمقدّمة مستديرة والإغلاق القابل للتعديل على الكاحل، مما يعزّز الطابع البريبي الذي يتميّز به.
8017724GADI6566,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1714410127/801772_4GADI_6566_001_100_0000_Light.jpg,SOFT ACCESSORIES,510.0,طقم من عصابة رأس وسوارَي معصم من القطن,"من حذاء سنيكرز ""Gucci Tennis"" من السبعينيات وحتى يومنا هذا، تستمر الدار بالتعبير عن الرابط القوي الذي يجمعها بعالم الرياضة مع قطع متميّزة تركّز على الإرث الغني كما على الابتكار. يتألف هذا الطقم الرياضي الرائع من عصابة رأس وسوارَي معصم، وهي كلها مصنوعة من قماش منشفة من مزيج القطن يحمل شعار شريط ويب الغني عن التعريف والمميّز للدار."
801569AAD7U6449,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1715272345/801569_AAD7U_6449_001_080_0000_Light.jpg,TRAVEL,4980.0,حقيبة قماشية متوسطة الحجم,تم تقديم هذه الحقيبة القماشية كجزء من مجموعة خريف وشتاء 2024 للرجال، وهي تستمدّ الوحي من تصميم أرشيفي بعد أن أعاد المخرج الإبداعي ساباتو دي سارنو Sabato De Sarno تخيّلها. يتميّز الجلد الفاخر بملمس حُبيبي ناعم ويتم تقديمه في هذا التصميم باللون الأحمر Rosso Ancora. يمكن تعديل حزام الكتف وفصله وهو مصنوع من الكانفاس على شكل شريط ويب باللونين الأخضر والأحمر بينما يكمل تفصيل شعار Gucci التصميم الأنيق المصنوع يتقنية نقش عالية التردد.
801568FADOG9153,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1712253744/801568_FADOG_9153_001_100_0000_Light.jpg,WOMENS SHOES,770.0,حذاء سنيكرز Gucci Tennis 1977 للنساء,تستكشف أحدث مجموعة الأرشيف، فتضيف لمسات عصرية على التصاميم الفينتاج تكريماً لماضي العلامة التجارية وحاضرها ومستقبلها على حد سواء. يتميّز حذاء Gucci Tennis 1977 بشريط ويب الأيقوني باللونين الأخضر والأحمر.
801041AADPK8646,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1715681703/801041_AADPK_8646_001_100_0000_Light.jpg,MENS BAGS,5200.0,حقيبة كتف Gucci B كبيرة الحجم,تم تقديم حقيبة Gucci B للمرة الأولى لمجموعة خريف وشتاء 2024 للرجال، وهي تستمد اسمها من تصميم أرشيفي بعد أن أُعيد تصميمها هنا بشكل واسع ومريح يلتف حول الجسم. يتميّز الجلد الفاخر بملمس حُبيبي ناعم ويقدّم هذه النسخة بتأثير نقش GG بصري باللون الأحمر Gucci Rosso Ancora. يمكن تعديل حزام الكتف وفصله، بفضل حلقة إضافية على شكل حرف D لتعليق الأغراض.
8003934HBA89066,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1710929721/800393_4HBA8_9066_001_100_0000_Light.jpg,SOFT ACCESSORIES,510.0,حاجب شمس من كانفاس Original GG مع شريط ويب,"من حذاء سنيكرز ""Gucci Tennis"" من السبعينيات وحتى يومنا هذا، تستمر الدار بالتعبير عن الرابط القوي الذي يجمعها بعالم الرياضة مع قطع متميّزة تركّز على الإرث الغني كما على الابتكار. يتم تقديم حاجب الشمس الهيكلي هذا بكانفاس Original GG القطني ويتعزّز بتقليم شريط ويب باللونين الأخضر والأحمر."
800265FADSC9852,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1715358827/800265_FADSC_9852_001_100_0000_Light.jpg,MENS BAGS,3200.0,حقيبة الظهر متوسطة الحجم مع شعار Gucci,تم تقديم تصميم حقيبة الظهر الجديدة على منصة عرض أزياء خريف وشتاء 2024 للرجال، وهو يمزج بين الخطوط الانسيابية والطابع الرياضي. تتميّز هذه النسخة المصنوعة من كانفاس Original GG باللونين البيج والأبنوس خلفيةً أنيقة لشعار Gucci المرهف والنافر، والذي صُنع بتقنية نقش عالية التردد. تشمل التفاصيل الأيقونية الأخرى تفصيل شريط ويب باللونين الأخضر والأحمر على الجيب الخارجي المزوّد بسحّاب.
800265FADST8462,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1715651243/800265_FADST_8462_001_100_0000_Light.jpg,MENS BAGS,3200.0,حقيبة الظهر متوسطة الحجم مع شعار Gucci,تم تقديم تصميم حقيبة الظهر الجديدة على منصة عرض أزياء خريف وشتاء 2024 للرجال، وهو يمزج بين الخطوط الانسيابية والطابع الرياضي. توفّر هذه النسخة متوسطة الحجم والمصنوعة من كانفاس Original GG باللون الأحمر Gucci Rosso Ancora خلفيةً أنيقة لشعار Gucci المرهف والنافر، والذي صُنع بتقنية نقش عالية التردد. تشمل التفاصيل الأيقونية الأخرى تفصيل شريط ويب باللونين الأخضر والأحمر على الجيب الخارجي المزوّد بسحّاب.
800098J85008000,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1714488439/800098_J8500_8000_001_100_0000_Light.jpg,FINE JEWELRY,1350.0,أقراط Horsebit مزيّنة بالمسامير عيار 18 قيراطاً,تحتفل غوتشي بالعيد العشرين لمجموعة مجوهرات Horsebit المميّزة مع قطع كلاسيكية وأيقونية مصنوعة من الذهب الأصفر عيار 18 قيراطاً. تتميّز هذه الأقراط المزيّنة بمسامير بنسخة معدّلة على شكل نصف horsebit عن التفصيل المميّز.
7999963G0016471,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1714410126/799996_3G001_6471_001_100_0000_Light.jpg,WOMENS SILK ACC,240.0,فيونكة عنق من الحرير مع طبعة GG,تتألق شعارات الدار العريقة من خلال الطبعات الجديدة والمُلفتة للنظر. صُنعت فيونكة العنق باللونين الأحمر والبنفسجي من الحرير الخالص، وتكشف عن طبعة GG بتأثير بصري.
7999963G0019864,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1715097763/799996_3G001_9864_001_100_0000_Light.jpg,WOMENS SILK ACC,240.0,فيونكة عنق من الحرير مع طبعة GG,تتألق شعارات الدار العريقة من خلال الطبعات الجديدة والمُلفتة للنظر. صُنعت فيونكة العنق باللونين البني الفاتح والبني الداكن من الحرير الخالص، وتكشف عن طبعة GG بتأثير بصري.
