productCode,image,name,category,description,price
8024480AABA1000,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1713892667/802448_0AABA_1000_001_072_0000_Light.jpg,GG Marmont small shoulder bag,HANDBAGS,"The GG Marmont collection spotlights sophisticated leather in dark tones to welcome Pre-Fall. Crafted in quilted chevron patent leather, this small shoulder bag with a zip closure underlines its contemporary silhouette in black, complete with light gold toned hardware.",2600.0
802166FADUU8657,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1716915707/802166_FADUU_8657_001_100_0000_Light.jpg,Large GG tote bag,MENS BAGS,"Signature pieces appear in the men's Fall Winter collection with a sporty attitude. Crafted from the Original GG canvas, timeless shapes and color palettes convey a contemporary mood through subtle details, such as the Web and embossed Gucci logo. This large tote bag, in beige and ebony canvas, features multiple pockets and top handles.",2250.0
802163KY9809763,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1711356332/802163_KY980_9763_001_100_0000_Light.jpg,Women's Princetown slipper,WOMENS SHOES,"The line presents a range of signature styles. The iconic Princetown slipper is defined by its elegant silhouette, refined materials and the classic Horsebit. This model is enhanced by the light gold-toned hardware.",920.0
802100FADUT6246,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1721147529/802100_FADUT_6246_001_080_0000_Light.jpg,Mini GG crossbody bag,MENS SMLG,"The latest small leather accessories line for men explores new functionalities and colorways. Crafted from the Original GG canvas in Rosso Ancora red, this timeless mini crossbody bag conveys a contemporary mood through subtle details, such as the subtle Web detail and new fidlock closure.",1850.0
802096FADWD6249,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1717606945/802096_FADWD_6249_001_088_0000_Light.jpg,Small GG crossbody bag,MENS BAGS,"Signature pieces appear in the men's Fall Winter collection with a sporty attitude. Crafted from the Original GG canvas, timeless shapes and color palettes convey a contemporary mood through subtle details, such as the Web and embossed Gucci logo. This small cross-body bag, in Rosso Ancora red canvas, features multiple pockets and an adjustable shoulder strap.",1980.0
802025FADUN6242,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1717608606/802025_FADUN_6242_001_080_0000_Light.jpg,Passport case with GG Shadow,MENS SMLG,"For the latest collections, the GG motif continues to be revisited with a contemporary twist. Presented in Gucci Rosso Ancora red, this passport case features the signature monogram with an optical effect to create a sense of dimension.",385.0
801893BNC801000,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1712680371/801893_BNC80_1000_001_095_0000_Light.jpg,Women's Horsebit pump,WOMENS SHOES,"The iconic Horsebit defines this pair of patent leather pumps. The rounded toe and the adjustable ankle closure complete the style, enhancing its preppy spirit.",1050.0
8017724GADI6566,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1714410127/801772_4GADI_6566_001_100_0000_Light.jpg,Cotton headband and wristbands set,SOFT ACCESSORIES,"From the 1970s 'Gucci Tennis' sneaker to the present day, the House continues to express its connection to the sport with signature pieces focusing on heritage as well as innovation. This striking sports set is comprised of a headband and two wristbands, all made from a cotton blend terry cloth bearing the House's instantly-recognisable Web motif.",510.0
801569AAD7U6449,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1715272345/801569_AAD7U_6449_001_080_0000_Light.jpg,Medium duffle bag,TRAVEL,"Introduced as part of the men's Fall Winter 2024, this duffle bag draws from an archive design and has been re-envisioned by Creative Director Sabato De Sarno. The refined leather has a soft grainy touch presented in here in Rosso Ancora red. The shoulder strap is adjustable and detachable in a green and red Web canvas while a Gucci logo detail completes the refined design crafted with a high frequency embossing technique.",4980.0
801568FADOG9153,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1712253744/801568_FADOG_9153_001_100_0000_Light.jpg,Women's Gucci Tennis 1977 sneaker,WOMENS SHOES,"The latest collection explores the archives, adding contemporary touches to vintage styles as a tribute to both the brand's past, present and future. This pair of Gucci Tennis 1977 is defined by the iconic green and red Web.",770.0
801041AADPK8646,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1715681703/801041_AADPK_8646_001_100_0000_Light.jpg,Gucci B large shoulder bag,MENS BAGS,"Introduced for the men's Fall Winter 2024 collection, the Gucci B bag draws its name from an archive design, re-envisioned here with a relaxed silhouette that drapes across the body. The refined leather has a soft grainy touch and presents this version with Gucci Rosso Ancora red GG optical effect. The shoulder strap is adjustable and detachable, with an additional D-ring for attaching items.",5200.0
8003934HBA89066,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1710929721/800393_4HBA8_9066_001_100_0000_Light.jpg,Original GG canvas visor with Web,SOFT ACCESSORIES,"From the 1970s 'Gucci Tennis' sneaker to the present day, the House continues to express its connection to the sport with signature pieces focusing on heritage as well as innovation. This structured visor is presented in Original GG cotton canvas and enhanced with a green and red Web stripe.",510.0
800265FADSC9852,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1715358827/800265_FADSC_9852_001_100_0000_Light.jpg,Medium backpack with Gucci logo,MENS BAGS,"Introduced on the men's Fall Winter 2024 runway, the new backpack silhouette blends sleek lines with a sporty attitude. This version in beige and ebony Original GG canvas provides a sophisticated backdrop for the subtle Gucci logo in relief, created with a high frequency embossing technique. Other iconic details include a green and red Web detail on the outside zip pocket.",3200.0
800265FADST8462,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1715651243/800265_FADST_8462_001_100_0000_Light.jpg,Medium backpack with Gucci logo,MENS BAGS,"Introduced on the men's Fall Winter 2024 runway, the new backpack silhouette blends sleek lines with a sporty attitude. This medium version in Gucci Rosso Ancora red Original GG canvas provides a sophisticated backdrop for the subtle Gucci logo in relief, created with a high frequency embossing technique. Other iconic details include a green and red Web detail on the outside zip pocket.",3200.0
800098J85008000,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1714488439/800098_J8500_8000_001_100_0000_Light.jpg,18k Horsebit stud earrings,FINE JEWELRY,Gucci celebrates the 20th anniversary of the signature Horsebit jewelry line with classic and iconic pieces in 18k yellow gold. This pair of stud earrings is defined by a half-horsebit variation of the signature detail.,1350.0
